track_name,track_rank,track_popularity,artist_popularity,duration_minutes,album_name,album_type,performance_score,relative_popularity,release_date
JUMP,1,73,87,2.75,JUMP,single,157.2,0.8390804597701149,2025-07-11
Pink Venom,2,74,87,3.12,BORN PINK,album,158.4,0.8505747126436781,2022-09-16
Shut Down,3,73,87,2.93,BORN PINK,album,157.2,0.8390804597701149,2022-09-16
Kill This Love,4,73,87,3.15,Kill This Love,single,157.2,0.8390804597701149,2019-04-05
How You Like That,5,72,87,3.02,THE ALBUM,album,156.0,0.8275862068965517,2020-10-02
AS IF IT'S YOUR LAST - KR Ver.,6,61,87,3.55,AS IF IT'S YOUR LAST (KR Ver.),single,142.8,0.7011494252873564,2017-07-20
DDU-DU DDU-DU - KR Ver.,7,57,87,3.49,SQUARE UP,single,138.0,0.6551724137931034,2018-06-15
BOOMBAYAH - KR Ver.,8,57,87,4.02,SQUARE TWO,single,138.0,0.6551724137931034,2017-07-20
Lovesick Girls,9,72,87,3.21,THE ALBUM,album,156.0,0.8275862068965517,2020-10-02
Pretty Savage,10,70,87,3.32,THE ALBUM,album,153.60000000000002,0.8045977011494253,2020-10-02
