track_name,track_rank,track_popularity,artist_popularity,duration_minutes,album_name,album_type,performance_score,relative_popularity,release_date
Super Shy,1,80,81,2.58,NewJeans 'Super Shy',single,160.8,0.9876543209876543,2023-07-07
New Jeans,2,79,81,1.82,NewJeans 'Super Shy',single,159.6,0.9753086419753086,2023-07-07
Ditto,3,79,81,3.09,Ditto,single,159.6,0.9753086419753086,2022-12-19
OMG,4,79,81,3.54,NewJeans 'OMG',single,159.6,0.9753086419753086,2023-01-02
Hype Boy,5,78,81,2.98,NewJeans 1st EP 'New Jeans',single,158.39999999999998,0.9629629629629629,2022-08-01
ETA,6,78,81,2.52,NewJeans 2nd EP 'Get Up',single,158.39999999999998,0.9629629629629629,2023-07-21
How Sweet,7,77,81,3.65,How Sweet,single,157.2,0.9506172839506173,2024-05-24
Attention,8,77,81,3.0,NewJeans 1st EP 'New Jeans',single,157.2,0.9506172839506173,2022-08-01
Supernatural,9,76,81,3.18,Supernatural,single,156.0,0.9382716049382716,2024-06-21
Bubble Gum,10,73,81,3.34,How Sweet,single,152.39999999999998,0.9012345679012346,2024-05-24
